"host_type","listings_count","avg_price","avg_days_available","avg_days_booked","avg_yearly_income","avg_reviews"
Amateur (1),1618,87.29,187.89,177.11,15203.64,81.65
Professional (5+),4346,102.37,197.70,167.30,16041.45,90.49
